City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
458,at taj,24.2173,23.2987,298.46,16,1,5.2,LY,1684352118
459,gun barrel city,32.331,-96.1127,300.94,64,17,3.84,US,1684352118
460,nuku'alofa,-21.1343,-175.2018,297.57,68,62,8.33,TO,1684352119
461,al aaroui,35.0102,-3.0123,290.13,65,100,2.68,MA,1684352119
462,north bay,46.3092,-79.4608,284.31,32,40,3.14,CA,1684352118
463,gambela,-11.6233,27.4751,289.61,69,3,1.28,CD,1684352120
464,howrah,22.5736,88.3251,301.12,78,40,3.6,IN,1684352120
465,kamloops,50.6758,-120.3394,299.98,32,7,2.11,CA,1684352120
466,umluj,25.0303,37.2622,301.74,44,10,2.63,SA,1684352120
467,mandalgovi,45.763,106.2704,283.18,23,0,5.25,MN,1684352121
468,tha bo,17.8475,102.5814,303.1,64,94,1.64,TH,1684352121
469,villa berthet,-27.2922,-60.4103,301.0,34,0,4.43,AR,1684352121
470,reinosa,43.001,-4.1378,278.05,93,38,4.28,ES,1684352122
471,bereznik,62.8555,42.7101,289.21,55,100,3.18,RU,1684352122
472,tame,6.4615,-71.7245,303.74,58,100,0.58,CO,1684352122
473,oruro,-17.9698,-67.1148,289.19,12,25,3.44,BO,1684352122
474,hauterive,48.4774,0.199,282.25,93,58,3.04,FR,1684352123
475,kavieng,-2.5735,150.7952,300.67,77,100,2.12,PG,1684352123
476,dakhla,23.6941,-15.9431,292.07,81,0,11.44,EH,1684352123
477,taroa,12.43,-71.5763,300.79,82,100,7.42,CO,1684352123
478,birnin kudu,11.4378,9.4663,301.51,63,100,10.26,NG,1684352124
479,whakatane,-37.9519,176.9946,281.94,99,100,0.89,NZ,1684352124
480,monte alegre,-1.9989,-54.0728,301.15,77,74,1.25,BR,1684352124
481,bani walid,31.7584,14.0147,295.31,32,15,6.79,LY,1684352125
482,andong,40.1287,124.3863,288.2,97,100,0.57,CN,1684352125
483,quillacollo,-17.3977,-66.2815,298.12,19,3,1.52,BO,1684352125
484,chos malal,-37.3785,-70.2719,288.19,45,37,5.7,AR,1684352126
485,fort bragg,35.1403,-79.1541,301.96,44,99,4.2,US,1684352126
486,necochea,-38.5545,-58.7393,293.56,59,100,5.09,AR,1684352126
487,rawlins,41.7908,-107.2392,293.9,24,35,6.85,US,1684352126
